// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Pato\Documents\projects\csharp\BenchmarkExperiment\BenchmarkExperiment\bin\Release\net5.0\a7971161-1ccc-414a-ad13-e70848c29cf8
// command took 3,34s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Pato\Documents\projects\csharp\BenchmarkExperiment\BenchmarkExperiment\bin\Release\net5.0\a7971161-1ccc-414a-ad13-e70848c29cf8
// command took 4,68s and exited with 0
// ***** Done, took 00:00:08 (8.11 sec)   *****
// Found 3 benchmarks:
//   DateParserBenchmarks.GetYearFromDateTime: DefaultJob
//   DateParserBenchmarks.GetYearFromSpan: DefaultJob
//   DateParserBenchmarks.GetYearFromSpanExplictIntConversion: DefaultJob

// **************************
// Benchmark: DateParserBenchmarks.GetYearFromDateTime: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a7971161-1ccc-414a-ad13-e70848c29cf8.dll" --benchmarkName "BenchmarkExperiment.DateParserBenchmarks.GetYearFromDateTime" --job "Default" --benchmarkId 0 in C:\Users\Pato\Documents\projects\csharp\BenchmarkExperiment\BenchmarkExperiment\bin\Release\net5.0\a7971161-1ccc-414a-ad13-e70848c29cf8\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.2 (CoreCLR 5.0.220.61120, CoreFX 5.0.220.61120), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadActual  11: 1048576 op, 2018500.00 ns, 1.9250 ns/op
OverheadActual  12: 1048576 op, 2023900.00 ns, 1.9301 ns/op
OverheadActual  13: 1048576 op, 2163400.00 ns, 2.0632 ns/op
OverheadActual  14: 1048576 op, 2070700.00 ns, 1.9748 ns/op
OverheadActual  15: 1048576 op, 2029700.00 ns, 1.9357 ns/op

WorkloadWarmup   1: 1048576 op, 688542800.00 ns, 656.6456 ns/op
WorkloadWarmup   2: 1048576 op, 688557100.00 ns, 656.6592 ns/op
WorkloadWarmup   3: 1048576 op, 687815900.00 ns, 655.9524 ns/op
WorkloadWarmup   4: 1048576 op, 687054800.00 ns, 655.2265 ns/op
WorkloadWarmup   5: 1048576 op, 690593600.00 ns, 658.6014 ns/op
WorkloadWarmup   6: 1048576 op, 702215100.00 ns, 669.6845 ns/op
WorkloadWarmup   7: 1048576 op, 689948300.00 ns, 657.9860 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 676230000.00 ns, 644.9032 ns/op
WorkloadActual   2: 1048576 op, 677745200.00 ns, 646.3482 ns/op
WorkloadActual   3: 1048576 op, 682592900.00 ns, 650.9713 ns/op
WorkloadActual   4: 1048576 op, 677969100.00 ns, 646.5617 ns/op
WorkloadActual   5: 1048576 op, 674270700.00 ns, 643.0346 ns/op
WorkloadActual   6: 1048576 op, 684116700.00 ns, 652.4245 ns/op
WorkloadActual   7: 1048576 op, 682241800.00 ns, 650.6365 ns/op
WorkloadActual   8: 1048576 op, 674955800.00 ns, 643.6880 ns/op
WorkloadActual   9: 1048576 op, 678559900.00 ns, 647.1251 ns/op
WorkloadActual  10: 1048576 op, 678939000.00 ns, 647.4867 ns/op
WorkloadActual  11: 1048576 op, 685405900.00 ns, 653.6540 ns/op
WorkloadActual  12: 1048576 op, 685265500.00 ns, 653.5201 ns/op
WorkloadActual  13: 1048576 op, 674283900.00 ns, 643.0472 ns/op
WorkloadActual  14: 1048576 op, 683753300.00 ns, 652.0780 ns/op
WorkloadActual  15: 1048576 op, 680940400.00 ns, 649.3954 ns/op

// AfterActualRun
WorkloadResult   1: 1048576 op, 674195400.00 ns, 642.9628 ns/op
WorkloadResult   2: 1048576 op, 675710600.00 ns, 644.4078 ns/op
WorkloadResult   3: 1048576 op, 680558300.00 ns, 649.0310 ns/op
WorkloadResult   4: 1048576 op, 675934500.00 ns, 644.6214 ns/op
WorkloadResult   5: 1048576 op, 672236100.00 ns, 641.0943 ns/op
WorkloadResult   6: 1048576 op, 682082100.00 ns, 650.4842 ns/op
WorkloadResult   7: 1048576 op, 680207200.00 ns, 648.6961 ns/op
WorkloadResult   8: 1048576 op, 672921200.00 ns, 641.7477 ns/op
WorkloadResult   9: 1048576 op, 676525300.00 ns, 645.1848 ns/op
WorkloadResult  10: 1048576 op, 676904400.00 ns, 645.5463 ns/op
WorkloadResult  11: 1048576 op, 683371300.00 ns, 651.7137 ns/op
WorkloadResult  12: 1048576 op, 683230900.00 ns, 651.5798 ns/op
WorkloadResult  13: 1048576 op, 672249300.00 ns, 641.1069 ns/op
WorkloadResult  14: 1048576 op, 681718700.00 ns, 650.1376 ns/op
WorkloadResult  15: 1048576 op, 678905800.00 ns, 647.4550 ns/op
GC:  0 0 0 0 1048576
Threading:  2 0 1048576

// AfterAll
// Benchmark Process 6944 has exited with code 0

Mean = 646.385 ns, StdErr = 0.971 ns (0.15%), N = 15, StdDev = 3.761 ns
Min = 641.094 ns, Q1 = 643.685 ns, Median = 645.546 ns, Q3 = 649.584 ns, Max = 651.714 ns
IQR = 5.899 ns, LowerFence = 634.837 ns, UpperFence = 658.433 ns
ConfidenceInterval = [642.364 ns; 650.405 ns] (CI 99.9%), Margin = 4.020 ns (0.62% of Mean)
Skewness = -0.01, Kurtosis = 1.43, MValue = 2

// **************************
// Benchmark: DateParserBenchmarks.GetYearFromSpan: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a7971161-1ccc-414a-ad13-e70848c29cf8.dll" --benchmarkName "BenchmarkExperiment.DateParserBenchmarks.GetYearFromSpan" --job "Default" --benchmarkId 1 in C:\Users\Pato\Documents\projects\csharp\BenchmarkExperiment\BenchmarkExperiment\bin\Release\net5.0\a7971161-1ccc-414a-ad13-e70848c29cf8\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.2 (CoreCLR 5.0.220.61120, CoreFX 5.0.220.61120), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 213800.00 ns, 213.8000 us/op
WorkloadJitting  1: 1 op, 575700.00 ns, 575.7000 us/op

OverheadJitting  2: 16 op, 199600.00 ns, 12.4750 us/op
WorkloadJitting  2: 16 op, 191000.00 ns, 11.9375 us/op

WorkloadPilot    1: 16 op, 5600.00 ns, 350.0000 ns/op
WorkloadPilot    2: 32 op, 3700.00 ns, 115.6250 ns/op
WorkloadPilot    3: 64 op, 5100.00 ns, 79.6875 ns/op
WorkloadPilot    4: 128 op, 8300.00 ns, 64.8438 ns/op
WorkloadPilot    5: 256 op, 12200.00 ns, 47.6562 ns/op
WorkloadPilot    6: 512 op, 21800.00 ns, 42.5781 ns/op
WorkloadPilot    7: 1024 op, 42000.00 ns, 41.0156 ns/op
WorkloadPilot    8: 2048 op, 83000.00 ns, 40.5273 ns/op
WorkloadPilot    9: 4096 op, 163500.00 ns, 39.9170 ns/op
WorkloadPilot   10: 8192 op, 327400.00 ns, 39.9658 ns/op
WorkloadPilot   11: 16384 op, 650300.00 ns, 39.6912 ns/op
WorkloadPilot   12: 32768 op, 1298100.00 ns, 39.6149 ns/op
WorkloadPilot   13: 65536 op, 2628100.00 ns, 40.1016 ns/op
WorkloadPilot   14: 131072 op, 5347300.00 ns, 40.7967 ns/op
WorkloadPilot   15: 262144 op, 10665600.00 ns, 40.6860 ns/op
WorkloadPilot   16: 524288 op, 21782100.00 ns, 41.5461 ns/op
WorkloadPilot   17: 1048576 op, 41688500.00 ns, 39.7573 ns/op
WorkloadPilot   18: 2097152 op, 83382000.00 ns, 39.7596 ns/op
WorkloadPilot   19: 4194304 op, 140786900.00 ns, 33.5662 ns/op
WorkloadPilot   20: 8388608 op, 267173100.00 ns, 31.8495 ns/op
WorkloadPilot   21: 16777216 op, 539220800.00 ns, 32.1401 ns/op

OverheadWarmup   1: 16777216 op, 31797700.00 ns, 1.8953 ns/op
OverheadWarmup   2: 16777216 op, 31373100.00 ns, 1.8700 ns/op
OverheadWarmup   3: 16777216 op, 31471200.00 ns, 1.8758 ns/op
OverheadWarmup   4: 16777216 op, 31370900.00 ns, 1.8699 ns/op
OverheadWarmup   5: 16777216 op, 31621200.00 ns, 1.8848 ns/op
OverheadWarmup   6: 16777216 op, 31355000.00 ns, 1.8689 ns/op

OverheadActual   1: 16777216 op, 31391600.00 ns, 1.8711 ns/op
OverheadActual   2: 16777216 op, 31421100.00 ns, 1.8728 ns/op
OverheadActual   3: 16777216 op, 31328600.00 ns, 1.8673 ns/op
OverheadActual   4: 16777216 op, 31329500.00 ns, 1.8674 ns/op
OverheadActual   5: 16777216 op, 31371800.00 ns, 1.8699 ns/op
OverheadActual   6: 16777216 op, 31399000.00 ns, 1.8715 ns/op
OverheadActual   7: 16777216 op, 31375700.00 ns, 1.8701 ns/op
OverheadActual   8: 16777216 op, 39911000.00 ns, 2.3789 ns/op
OverheadActual   9: 16777216 op, 40697800.00 ns, 2.4258 ns/op
OverheadActual  10: 16777216 op, 40643200.00 ns, 2.4225 ns/op
OverheadActual  11: 16777216 op, 40636700.00 ns, 2.4221 ns/op
OverheadActual  12: 16777216 op, 40654800.00 ns, 2.4232 ns/op
OverheadActual  13: 16777216 op, 40797900.00 ns, 2.4317 ns/op
OverheadActual  14: 16777216 op, 40632800.00 ns, 2.4219 ns/op
OverheadActual  15: 16777216 op, 40964700.00 ns, 2.4417 ns/op
OverheadActual  16: 16777216 op, 40745300.00 ns, 2.4286 ns/op
OverheadActual  17: 16777216 op, 40668000.00 ns, 2.4240 ns/op
OverheadActual  18: 16777216 op, 40636600.00 ns, 2.4221 ns/op
OverheadActual  19: 16777216 op, 40627000.00 ns, 2.4216 ns/op
OverheadActual  20: 16777216 op, 40879200.00 ns, 2.4366 ns/op

WorkloadWarmup   1: 16777216 op, 536407600.00 ns, 31.9724 ns/op
WorkloadWarmup   2: 16777216 op, 540191900.00 ns, 32.1979 ns/op
WorkloadWarmup   3: 16777216 op, 532314500.00 ns, 31.7284 ns/op
WorkloadWarmup   4: 16777216 op, 532752400.00 ns, 31.7545 ns/op
WorkloadWarmup   5: 16777216 op, 535823800.00 ns, 31.9376 ns/op
WorkloadWarmup   6: 16777216 op, 536650000.00 ns, 31.9868 ns/op
WorkloadWarmup   7: 16777216 op, 538868700.00 ns, 32.1191 ns/op
WorkloadWarmup   8: 16777216 op, 532693500.00 ns, 31.7510 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 533555400.00 ns, 31.8024 ns/op
WorkloadActual   2: 16777216 op, 533940100.00 ns, 31.8253 ns/op
WorkloadActual   3: 16777216 op, 540150000.00 ns, 32.1954 ns/op
WorkloadActual   4: 16777216 op, 539925800.00 ns, 32.1821 ns/op
WorkloadActual   5: 16777216 op, 545425000.00 ns, 32.5099 ns/op
WorkloadActual   6: 16777216 op, 537409300.00 ns, 32.0321 ns/op
WorkloadActual   7: 16777216 op, 547753400.00 ns, 32.6486 ns/op
WorkloadActual   8: 16777216 op, 538497300.00 ns, 32.0969 ns/op
WorkloadActual   9: 16777216 op, 555702000.00 ns, 33.1224 ns/op
WorkloadActual  10: 16777216 op, 549954100.00 ns, 32.7798 ns/op
WorkloadActual  11: 16777216 op, 551154500.00 ns, 32.8514 ns/op
WorkloadActual  12: 16777216 op, 557902100.00 ns, 33.2536 ns/op
WorkloadActual  13: 16777216 op, 554828700.00 ns, 33.0704 ns/op
WorkloadActual  14: 16777216 op, 545843400.00 ns, 32.5348 ns/op
WorkloadActual  15: 16777216 op, 562843600.00 ns, 33.5481 ns/op

// AfterActualRun
WorkloadResult   1: 16777216 op, 492920700.00 ns, 29.3804 ns/op
WorkloadResult   2: 16777216 op, 493305400.00 ns, 29.4033 ns/op
WorkloadResult   3: 16777216 op, 499515300.00 ns, 29.7734 ns/op
WorkloadResult   4: 16777216 op, 499291100.00 ns, 29.7601 ns/op
WorkloadResult   5: 16777216 op, 504790300.00 ns, 30.0878 ns/op
WorkloadResult   6: 16777216 op, 496774600.00 ns, 29.6101 ns/op
WorkloadResult   7: 16777216 op, 507118700.00 ns, 30.2266 ns/op
WorkloadResult   8: 16777216 op, 497862600.00 ns, 29.6749 ns/op
WorkloadResult   9: 16777216 op, 515067300.00 ns, 30.7004 ns/op
WorkloadResult  10: 16777216 op, 509319400.00 ns, 30.3578 ns/op
WorkloadResult  11: 16777216 op, 510519800.00 ns, 30.4294 ns/op
WorkloadResult  12: 16777216 op, 517267400.00 ns, 30.8315 ns/op
WorkloadResult  13: 16777216 op, 514194000.00 ns, 30.6484 ns/op
WorkloadResult  14: 16777216 op, 505208700.00 ns, 30.1128 ns/op
WorkloadResult  15: 16777216 op, 522208900.00 ns, 31.1261 ns/op
GC:  0 0 0 0 16777216
Threading:  2 0 16777216

// AfterAll
// Benchmark Process 10560 has exited with code 0

Mean = 30.142 ns, StdErr = 0.139 ns (0.46%), N = 15, StdDev = 0.539 ns
Min = 29.380 ns, Q1 = 29.717 ns, Median = 30.113 ns, Q3 = 30.539 ns, Max = 31.126 ns
IQR = 0.821 ns, LowerFence = 28.485 ns, UpperFence = 31.771 ns
ConfidenceInterval = [29.566 ns; 30.717 ns] (CI 99.9%), Margin = 0.576 ns (1.91% of Mean)
Skewness = 0.18, Kurtosis = 1.69, MValue = 2

// **************************
// Benchmark: DateParserBenchmarks.GetYearFromSpanExplictIntConversion: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a7971161-1ccc-414a-ad13-e70848c29cf8.dll" --benchmarkName "BenchmarkExperiment.DateParserBenchmarks.GetYearFromSpanExplictIntConversion" --job "Default" --benchmarkId 2 in C:\Users\Pato\Documents\projects\csharp\BenchmarkExperiment\BenchmarkExperiment\bin\Release\net5.0\a7971161-1ccc-414a-ad13-e70848c29cf8\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.2 (CoreCLR 5.0.220.61120, CoreFX 5.0.220.61120), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 270300.00 ns, 270.3000 us/op
WorkloadJitting  1: 1 op, 833200.00 ns, 833.2000 us/op

OverheadJitting  2: 16 op, 246500.00 ns, 15.4062 us/op
WorkloadJitting  2: 16 op, 273200.00 ns, 17.0750 us/op

WorkloadPilot    1: 16 op, 1300.00 ns, 81.2500 ns/op
WorkloadPilot    2: 32 op, 15800.00 ns, 493.7500 ns/op
WorkloadPilot    3: 64 op, 1800.00 ns, 28.1250 ns/op
WorkloadPilot    4: 128 op, 2900.00 ns, 22.6562 ns/op
WorkloadPilot    5: 256 op, 5200.00 ns, 20.3125 ns/op
WorkloadPilot    6: 512 op, 9000.00 ns, 17.5781 ns/op
WorkloadPilot    7: 1024 op, 17700.00 ns, 17.2852 ns/op
WorkloadPilot    8: 2048 op, 46700.00 ns, 22.8027 ns/op
WorkloadPilot    9: 4096 op, 102100.00 ns, 24.9268 ns/op
WorkloadPilot   10: 8192 op, 195600.00 ns, 23.8770 ns/op
WorkloadPilot   11: 16384 op, 382900.00 ns, 23.3704 ns/op
WorkloadPilot   12: 32768 op, 641100.00 ns, 19.5648 ns/op
WorkloadPilot   13: 65536 op, 1254000.00 ns, 19.1345 ns/op
WorkloadPilot   14: 131072 op, 2457500.00 ns, 18.7492 ns/op
WorkloadPilot   15: 262144 op, 4780600.00 ns, 18.2365 ns/op
WorkloadPilot   16: 524288 op, 9540800.00 ns, 18.1976 ns/op
WorkloadPilot   17: 1048576 op, 19124400.00 ns, 18.2384 ns/op
WorkloadPilot   18: 2097152 op, 39455200.00 ns, 18.8137 ns/op
WorkloadPilot   19: 4194304 op, 80281300.00 ns, 19.1406 ns/op
WorkloadPilot   20: 8388608 op, 130123900.00 ns, 15.5120 ns/op
WorkloadPilot   21: 16777216 op, 239509600.00 ns, 14.2759 ns/op
WorkloadPilot   22: 33554432 op, 471233200.00 ns, 14.0438 ns/op
WorkloadPilot   23: 67108864 op, 938373800.00 ns, 13.9829 ns/op

OverheadWarmup   1: 67108864 op, 137737100.00 ns, 2.0524 ns/op
OverheadWarmup   2: 67108864 op, 140117200.00 ns, 2.0879 ns/op
OverheadWarmup   3: 67108864 op, 156045000.00 ns, 2.3253 ns/op
OverheadWarmup   4: 67108864 op, 159802400.00 ns, 2.3812 ns/op
OverheadWarmup   5: 67108864 op, 161401400.00 ns, 2.4051 ns/op
OverheadWarmup   6: 67108864 op, 160769400.00 ns, 2.3957 ns/op
OverheadWarmup   7: 67108864 op, 160980100.00 ns, 2.3988 ns/op
OverheadWarmup   8: 67108864 op, 159195300.00 ns, 2.3722 ns/op

OverheadActual   1: 67108864 op, 156800000.00 ns, 2.3365 ns/op
OverheadActual   2: 67108864 op, 160302800.00 ns, 2.3887 ns/op
OverheadActual   3: 67108864 op, 155194700.00 ns, 2.3126 ns/op
OverheadActual   4: 67108864 op, 160256200.00 ns, 2.3880 ns/op
OverheadActual   5: 67108864 op, 155135400.00 ns, 2.3117 ns/op
OverheadActual   6: 67108864 op, 159119500.00 ns, 2.3711 ns/op
OverheadActual   7: 67108864 op, 157545100.00 ns, 2.3476 ns/op
OverheadActual   8: 67108864 op, 155850500.00 ns, 2.3224 ns/op
OverheadActual   9: 67108864 op, 160371700.00 ns, 2.3897 ns/op
OverheadActual  10: 67108864 op, 158172900.00 ns, 2.3570 ns/op
OverheadActual  11: 67108864 op, 158321000.00 ns, 2.3592 ns/op
OverheadActual  12: 67108864 op, 161575700.00 ns, 2.4077 ns/op
OverheadActual  13: 67108864 op, 152465900.00 ns, 2.2719 ns/op
OverheadActual  14: 67108864 op, 159059500.00 ns, 2.3702 ns/op
OverheadActual  15: 67108864 op, 157666900.00 ns, 2.3494 ns/op

WorkloadWarmup   1: 67108864 op, 951134600.00 ns, 14.1730 ns/op
WorkloadWarmup   2: 67108864 op, 949452100.00 ns, 14.1479 ns/op
WorkloadWarmup   3: 67108864 op, 951423700.00 ns, 14.1773 ns/op
WorkloadWarmup   4: 67108864 op, 961441500.00 ns, 14.3266 ns/op
WorkloadWarmup   5: 67108864 op, 959672600.00 ns, 14.3002 ns/op
WorkloadWarmup   6: 67108864 op, 955689300.00 ns, 14.2409 ns/op
WorkloadWarmup   7: 67108864 op, 962039300.00 ns, 14.3355 ns/op
WorkloadWarmup   8: 67108864 op, 947922800.00 ns, 14.1252 ns/op

// BeforeActualRun
WorkloadActual   1: 67108864 op, 957539300.00 ns, 14.2684 ns/op
WorkloadActual   2: 67108864 op, 968759600.00 ns, 14.4356 ns/op
WorkloadActual   3: 67108864 op, 969865700.00 ns, 14.4521 ns/op
WorkloadActual   4: 67108864 op, 956941300.00 ns, 14.2595 ns/op
WorkloadActual   5: 67108864 op, 965239200.00 ns, 14.3832 ns/op
WorkloadActual   6: 67108864 op, 963577300.00 ns, 14.3584 ns/op
WorkloadActual   7: 67108864 op, 969093100.00 ns, 14.4406 ns/op
WorkloadActual   8: 67108864 op, 972527800.00 ns, 14.4918 ns/op
WorkloadActual   9: 67108864 op, 959758700.00 ns, 14.3015 ns/op
WorkloadActual  10: 67108864 op, 947559400.00 ns, 14.1197 ns/op
WorkloadActual  11: 67108864 op, 976912000.00 ns, 14.5571 ns/op
WorkloadActual  12: 67108864 op, 958858200.00 ns, 14.2881 ns/op
WorkloadActual  13: 67108864 op, 949680900.00 ns, 14.1513 ns/op
WorkloadActual  14: 67108864 op, 956829600.00 ns, 14.2579 ns/op
WorkloadActual  15: 67108864 op, 942156600.00 ns, 14.0392 ns/op

// AfterActualRun
WorkloadResult   1: 67108864 op, 799366400.00 ns, 11.9115 ns/op
WorkloadResult   2: 67108864 op, 810586700.00 ns, 12.0787 ns/op
WorkloadResult   3: 67108864 op, 811692800.00 ns, 12.0952 ns/op
WorkloadResult   4: 67108864 op, 798768400.00 ns, 11.9026 ns/op
WorkloadResult   5: 67108864 op, 807066300.00 ns, 12.0262 ns/op
WorkloadResult   6: 67108864 op, 805404400.00 ns, 12.0015 ns/op
WorkloadResult   7: 67108864 op, 810920200.00 ns, 12.0837 ns/op
WorkloadResult   8: 67108864 op, 814354900.00 ns, 12.1348 ns/op
WorkloadResult   9: 67108864 op, 801585800.00 ns, 11.9446 ns/op
WorkloadResult  10: 67108864 op, 789386500.00 ns, 11.7628 ns/op
WorkloadResult  11: 67108864 op, 818739100.00 ns, 12.2002 ns/op
WorkloadResult  12: 67108864 op, 800685300.00 ns, 11.9311 ns/op
WorkloadResult  13: 67108864 op, 791508000.00 ns, 11.7944 ns/op
WorkloadResult  14: 67108864 op, 798656700.00 ns, 11.9009 ns/op
WorkloadResult  15: 67108864 op, 783983700.00 ns, 11.6823 ns/op
GC:  0 0 0 0 67108864
Threading:  2 0 67108864

// AfterAll
// Benchmark Process 10748 has exited with code 0

Mean = 11.963 ns, StdErr = 0.038 ns (0.31%), N = 15, StdDev = 0.145 ns
Min = 11.682 ns, Q1 = 11.902 ns, Median = 11.945 ns, Q3 = 12.081 ns, Max = 12.200 ns
IQR = 0.179 ns, LowerFence = 11.633 ns, UpperFence = 12.350 ns
ConfidenceInterval = [11.808 ns; 12.119 ns] (CI 99.9%), Margin = 0.155 ns (1.30% of Mean)
Skewness = -0.25, Kurtosis = 2.01, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\BenchmarkExperiment.DateParserBenchmarks-report.csv
  BenchmarkDotNet.Artifacts\results\BenchmarkExperiment.DateParserBenchmarks-report-github.md
  BenchmarkDotNet.Artifacts\results\BenchmarkExperiment.DateParserBenchmarks-report.html

// * Detailed results *
DateParserBenchmarks.GetYearFromSpanExplictIntConversion: DefaultJob
Runtime = .NET Core 5.0.2 (CoreCLR 5.0.220.61120, CoreFX 5.0.220.61120), X64 RyuJIT; GC = Concurrent Workstation
Mean = 11.963 ns, StdErr = 0.038 ns (0.31%), N = 15, StdDev = 0.145 ns
Min = 11.682 ns, Q1 = 11.902 ns, Median = 11.945 ns, Q3 = 12.081 ns, Max = 12.200 ns
IQR = 0.179 ns, LowerFence = 11.633 ns, UpperFence = 12.350 ns
ConfidenceInterval = [11.808 ns; 12.119 ns] (CI 99.9%), Margin = 0.155 ns (1.30% of Mean)
Skewness = -0.25, Kurtosis = 2.01, MValue = 2
-------------------- Histogram --------------------
[11.621 ns ; 12.278 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

DateParserBenchmarks.GetYearFromSpan: DefaultJob
Runtime = .NET Core 5.0.2 (CoreCLR 5.0.220.61120, CoreFX 5.0.220.61120), X64 RyuJIT; GC = Concurrent Workstation
Mean = 30.142 ns, StdErr = 0.139 ns (0.46%), N = 15, StdDev = 0.539 ns
Min = 29.380 ns, Q1 = 29.717 ns, Median = 30.113 ns, Q3 = 30.539 ns, Max = 31.126 ns
IQR = 0.821 ns, LowerFence = 28.485 ns, UpperFence = 31.771 ns
